id,picture,artist,hottest,streams_b,followers_mio,listeners_mio,scoring
236,,Niall Horan,74,5.94,9.80,17.04,18
237,,Rels B,82,5.48,5.78,20.02,18
238,,Whitney Houston,74,5.53,9.60,23.24,18
239,,Wisin & Yandel,78,5.82,6.67,20.79,18
240,,Maná,76,5.37,10.25,17.38,18
241,,Yandel,78,4.35,7.23,24.21,17
242,,blackbear,74,8.13,4.88,17.31,17
243,,Machine Gun Kelly,75,8.30,5.14,13.22,17
244,,Logic,73,9.06,5.94,11.96,17
245,,Alessia Cara,72,5.22,11.86,17.30,17
246,,Piso 21,74,5.52,9.22,17.85,17
247,,Fuerza Regida,84,4.84,4.71,23.02,17
248,,Macklemore,76,8.07,2.12,30.46,17
249,,Eladio Carrion,82,5.18,4.85,22.40,17
250,,Eagles,74,4.76,9.95,20.33,17
251,,Rammstein,77,6.41,8.65,10.60,17
252,,Matheus & Kauan,77,5.22,11.33,12.03,17
253,,Christina Aguilera,75,5.12,7.77,23.76,17
254,,Bastille,73,6.99,5.46,20.67,17
255,,The 1975,76,6.79,6.91,13.52,17
256,,The Lumineers,77,6.06,5.24,22.81,17
257,,Cartel De Santa,76,4.96,15.33,10.34,17
258,,Russ,76,7.49,4.94,16.83,17
259,,Jack Harlow,77,7.30,2.99,26.60,17
260,,Miguel,77,5.30,4.79,27.84,17
261,,Bryson Tiller,77,5.37,7.46,16.60,17
262,,Labrinth,77,6.84,3.04,29.14,17
263,,John Legend,74,6.26,6.58,21.15,17
264,,Maria Becerra,81,4.83,4.80,25.96,17
265,,Avril Lavigne,73,5.29,10.29,18.31,17
266,,Stray Kids,81,5.57,12.61,8.41,17
267,,Jung Kook,86,2.23,9.66,32.96,16
268,,Florence + The Machine,75,5.51,6.55,19.66,16
269,,Jonas Blue,74,7.17,3.85,21.05,16
270,,Cigarettes After Sex,79,4.32,8.08,17.98,16
271,,Bee Gees,75,4.47,7.17,26.39,16
272,,Aventura,76,5.19,7.53,17.48,16
273,,Meek Mill,73,6.15,7.57,14.21,16
274,,Frank Sinatra,74,6.65,6.56,14.41,16
275,,Kelly Clarkson,72,5.08,10.15,17.77,16
276,,Shreya Ghoshal,81,1.83,19.61,33.52,16
277,,Muse,73,6.12,7.68,13.36,16
278,,My Chemical Romance,75,5.76,7.93,15.56,16
279,,Daniel Caesar,78,4.65,4.47,26.34,15
280,,NLE Choppa,78,4.22,6.71,20.29,15
281,,Jul,80,5.44,8.18,7.71,15
282,,Dave,81,4.09,3.62,28.94,15
283,,TINI,77,4.36,6.88,18.88,15
284,,Brent Faiyaz,81,4.04,4.51,21.47,15
285,,Summer Walker,77,4.87,5.41,21.00,15
286,,Lizzo,74,5.16,5.64,20.91,15
287,,Central Cee,82,3.63,3.96,32.83,15
288,,Akon,79,4.37,3.98,25.02,15
289,,Billy Joel,75,4.96,5.43,22.49,15
290,,Glass Animals,74,5.71,3.88,23.70,15
291,,Florida Georgia Line,73,6.81,5.41,13.14,15
292,,Alejandro Fernández,74,5.30,7.17,14.73,15
293,,Maiara & Maraisa,74,4.52,13.31,10.96,15
294,,Calum Scott,75,4.44,5.33,26.63,15
295,,Stevie Wonder,73,5.02,6.27,18.98,15
296,,Sabrina Carpenter,77,3.78,5.96,25.10,15
297,,Gucci Mane,76,5.89,5.00,16.56,15
298,,Luke Bryan,75,5.58,8.51,11.49,15
299,,Rita Ora,71,5.55,8.33,13.86,15
300,,The Script,71,5.20,8.08,16.80,15
301,,Chris Stapleton,78,4.17,6.11,19.81,15
302,,Michael Bublé,71,7.85,5.99,12.12,15
303,,Lil Tecca,76,5.11,6.26,16.33,15
304,,Nickelback,75,5.50,6.53,15.62,15
305,,Zion & Lennox,75,4.35,7.60,20.51,15
306,,Eslabon Armado,80,4.00,4.69,26.11,15
307,,Wesley Safadão,74,4.72,12.22,10.97,15
308,,French Montana,73,6.18,5.19,18.17,15
309,,Mora,86,4.50,2.65,22.86,15
310,,Kesha,74,4.63,7.64,18.87,15
311,,Bruce Springsteen,74,5.39,5.85,16.14,15
312,,PARTYNEXTDOOR,76,4.31,5.71,17.29,14
313,,Jessie J,69,4.08,11.62,15.99,14
