id,track_name,artist,duration_ms,popularity,release_date,year
239,When the Sun Goes Down,"Kenny Chesney, Uncle Kracker",290560,69,2004-01-22,2004
240,In My Room,Insane Clown Posse,231146,71,2004-08-31,2004
241,All These Things That I've Done,The Killers,301866,74,2004-01-01,2004
242,Scars,Papa Roach,208186,70,2004-01-01,2004
243,Let Me Love You,Mario,249093,69,2004-12-06,2004
244,All Caps,"Madvillain, Madlib, MF DOOM",130479,73,2004-03-24,2004
245,Jesus Walks,Kanye West,193733,73,2004-02-10,2004
246,Broken,"Seether, Amy Lee",258333,72,2004-01-01,2004
247,Rosas,La Oreja de Van Gogh,237026,70,2004-05-10,2004
248,Amber,311,211080,69,2004-06-08,2004
249,Overnight Celebrity,Twista,233360,69,2004-01-27,2004
250,Confessions Part II,USHER,211200,72,2004-03-23,2004
251,Before He Cheats,Carrie Underwood,199946,82,2005-11-14,2005
252,Gold Digger,"Kanye West, Jamie Foxx",207626,82,2005-08-30,2005
253,Feel Good Inc.,Gorillaz,222640,85,2005-05-23,2005
254,"Sugar, We're Goin Down",Fall Out Boy,229093,80,2005-05-03,2005
255,Love,Keyshia Cole,255333,83,2005-01-01,2005
256,Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",218093,86,2005-11-28,2005
257,Lose Yourself,Eminem,326466,79,2005-12-06,2005
258,I Write Sins Not Tragedies,Panic! At The Disco,186634,75,2005-09-27,2005
259,Good Directions,Billy Currington,215853,75,2005-01-01,2005
260,"Dance, Dance",Fall Out Boy,180266,79,2005-05-03,2005
261,Temperature,Sean Paul,218573,83,2005-09-26,2005
262,Coming Undone,Korn,199773,78,2005-12-06,2005
263,Hey There Delilah,Plain White T's,232533,80,2005-01-01,2005
264,Hate It Or Love It,"The Game, 50 Cent",206400,83,2005-01-01,2005
265,How to Save a Life,The Fray,262533,82,2005-09-13,2005
266,The Kill,Thirty Seconds To Mars,231533,79,2005-01-01,2005
267,Pon de Replay,Rihanna,246960,81,2005-08-29,2005
268,We Belong Together,Mariah Carey,201400,73,2005-04-12,2005
269,Dirty Little Secret,The All-American Rejects,193653,73,2005-01-01,2005
270,Better Together,Jack Johnson,207680,73,2005-01-01,2005
271,Candy Shop,"50 Cent, Olivia",209106,82,2005-03-03,2005
272,Rockstar,Nickelback,252040,71,2005-09-26,2005
273,Banana Pancakes,Jack Johnson,191906,72,2005-01-01,2005
274,Animals,Nickelback,186600,71,2005-09-26,2005
275,Hidden In the Sand,Tally Hall,112960,77,2005-10-24,2005
276,Lonely Day,System Of A Down,167906,79,2005-11-22,2005
277,Beverly Hills,Weezer,196093,73,2005-05-10,2005
278,Boondocks,Little Big Town,272346,71,2005-01-01,2005
279,Cupid's Chokehold / Breakfast in America,Gym Class Heroes,243773,78,2005-02-22,2005
280,Touch The Sky,"Kanye West, Lupe Fiasco",236600,75,2005-08-30,2005
281,Lips Of An Angel,Hinder,261853,74,2005-01-01,2005
282,As Good As I Once Was,Toby Keith,227840,72,2005-01-01,2005
283,B.Y.O.B.,System Of A Down,255466,79,2005-05-17,2005
284,Remedy,Seether,207213,72,2005-01-01,2005
285,Move Along,The All-American Rejects,238880,70,2005-01-01,2005
286,Pump It,Black Eyed Peas,213066,71,2005-01-01,2005
287,Ella Y Yo - Featuring Don Omar,"Aventura, Don Omar",267786,82,2005-04-26,2005
288,Fix You,Coldplay,295533,85,2005-06-07,2005
289,I'm Sprung,T-Pain,231040,72,2005-12-06,2005
290,Run It! (feat. Juelz Santana),"Chris Brown, Juelz Santana",229866,76,2005-01-01,2005
291,Just A Lil Bit,50 Cent,237706,79,2005-03-03,2005
292,Tequila Makes Her Clothes Fall Off,Joe Nichols,187053,71,2005-01-01,2005
293,Yo (Excuse Me Miss),Chris Brown,229040,74,2005-01-01,2005
