Artist,TrackNames
"Post Malone, Swae Lee","['Sunflower - Spider-Man: Into the Spider-Verse', 'Sunflower - Spider-Man: Into the Spider-Verse']"
Puddle Of Mudd,"['She Hates Me', 'Blurry']"
Queens of the Stone Age,['No One Knows']
Radiohead,"['Jigsaw Falling Into Place', 'Weird Fishes/ Arpeggi']"
Rae Sremmurd,"['This Could Be Us', 'Come Get Her']"
Rainbow Kitten Surprise,"[""It's Called: Freefall""]"
Rammstein,['Sonne']
Rascal Flatts,"['Bless The Broken Road', 'Life is a Highway', 'Life is a Highway', 'What Hurts The Most']"
Red Hot Chili Peppers,"[""Can't Stop"", 'By the Way', 'Soul to Squeeze', 'Dani California', 'Snow (Hey Oh)']"
"Rema, Selena Gomez",['Calm Down (with Selena Gomez)']
Richy Mitch & The Coal Miners,['Evergreen']
Rihanna,"['Pon de Replay', 'SOS', ""Don't Stop The Music"", 'Disturbia', ""Don't Stop The Music"", 'Rude Boy', 'Only Girl (In The World)', 'S&M', 'Diamonds', 'Needed Me', 'Love On The Brain']"
"Rihanna, Calvin Harris",['We Found Love']
"Rihanna, Future",['Loveeeeeee Song']
"Rihanna, JAY-Z","['Umbrella', 'Umbrella']"
"Rihanna, Mikky Ekko",['Stay']
Rise Against,"['Prayer Of The Refugee', 'Savior']"
Roar,"[""I Can't Handle Change"", 'Christmas Kids']"
Roddy Ricch,['The Box']
Ruth B.,['Dandelions']
SZA,"['Broken Clocks', 'Good Days', 'Snooze', 'Kill Bill', 'Low', 'Kill Bill']"
Sabrina Carpenter,['Nonsense']
Saliva,['Click Click Boom']
Sam Smith,"['Stay With Me', ""I'm Not The Only One""]"
Sara Bareilles,['Love Song']
Sara Evans,['Suds in the Bucket']
Saving Abel,['Addicted']
"ScHoolboy Q, Kendrick Lamar",['Collard Greens']
Sean Kingston,"['Beautiful Girls', 'Fire Burning']"
Sean Paul,['Temperature']
Seether,"['Fine Again', 'Remedy', 'Fake It']"
"Seether, Amy Lee",['Broken']
Selena Gomez & The Scene,['Love You Like A Love Song']
Semisonic,['Closing Time']
"Shaggy, Rayvon",['Angel']
"Shaggy, Rik Rok","[""It Wasn't Me""]"
Shakira,"['Whenever, Wherever']"
"Shakira, Wyclef Jean","[""Hips Don't Lie (feat. Wyclef Jean)""]"
Shawn Mendes,['Stitches']
Sheck Wes,['Mo Bamba']
Shinedown,"['45', 'Second Chance']"
Sia,['Unstoppable']
Skillet,['Monster']
Sleepy Hallow,['2055']
Slightly Stoopid,"['Collie Man', 'Closer to the Sun']"
Slipknot,"['Duality', 'Before I Forget']"
"Snoop Dogg, Pharrell Williams","[""Drop It Like It's Hot""]"
Snow Patrol,['Chasing Cars']
Sonder,['What You Heard']
Soulja Boy,['Crank That (Soulja Boy)']
"Soulja Boy, Sammie",['Kiss Me Thru The Phone']
South Park Mexican,['Mexican Radio']
Staind,"[""It's Been Awhile"", 'So Far Away']"
"Stephen Sanchez, Em Beihold",['Until I Found You (with Em Beihold) - Em Beihold Version']
Steve Lacy,"['C U Girl', 'Some', 'Dark Red', 'Infrunami', 'Bad Habit']"
Stevie Wonder,['Superstition - Single Version']
Strawberry Guy,['Mrs Magic']
Sum 41,"['In Too Deep', 'Fat Lip', 'Still Waiting']"
Superheaven,['Youngest Daughter']
Surf Curse,['Freaks']
"Swedish House Mafia, John Martin","[""Don't You Worry Child - Radio Edit""]"
System Of A Down,"['Chop Suey!', 'Toxicity', 'Aerials', 'Lonely Day', 'B.Y.O.B.']"
T-Pain,"[""I'm Sprung""]"
"T-Pain, Akon",['Bartender (feat. Akon)']
"T-Pain, Yung Joc","[""Buy U a Drank (Shawty Snappin') (feat. Yung Joc)""]"
T.I.,['Whatever You Like']
TOOL,['Schism']
TV Girl,"['Lovers Rock', 'The Blonde', 'Not Allowed', 'Cigarettes out the Window', 'Blue Hair']"
Taking Back Sunday,"[""Cute Without The 'E' (Cut From The Team) - Remastered"", 'MakeDamnSure']"
Tally Hall,['Hidden In the Sand']
Tame Impala,"['The Less I Know The Better', 'New Person, Same Old Mistakes', 'Let It Happen', 'Eventually', 'Borderline']"
Taylor Swift,"['Our Song', 'Picture To Burn', ""Should've Said No"", 'Teardrops On My Guitar - Radio Single Remix', 'Tim McGraw', 'You Belong With Me', 'Love Story', 'Enchanted', 'Blank Space', 'Style', 'Shake It Off', 'New Romantics', 'Wildest Dreams', 'Bad Blood', 'Wonderland', 'Don’t Blame Me', 'Getaway Car', 'Delicate', 'Look What You Made Me Do', '...Ready For It?', 'I Did Something Bad', 'Cruel Summer', 'Lover', 'The Man', 'Paper Rings', 'All Of The Girls You Loved Before', 'Miss Americana & The Heartbreak Prince', 'You Need To Calm Down', 'The Archer', 'august', 'cardigan', 'champagne problems', 'the 1', 'my tears ricochet', ""All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)"", ""Wildest Dreams (Taylor's Version)"", 'You Belong With Me (Taylor’s Version)', 'Love Story (Taylor’s Version)', 'right where you left me - bonus track', 'Fearless (Taylor’s Version)', 'The Way I Loved You (Taylor’s Version)', 'Anti-Hero', 'Karma', 'Lavender Haze']"
"Taylor Swift, Bon Iver",['exile (feat. Bon Iver)']
Tego Calderón,"[""Pa' Que Retozen""]"
The All-American Rejects,"['Swing, Swing', 'Dirty Little Secret', 'Move Along', 'Gives You Hell']"
The Beach Boys,['Kokomo']
The Beatles,['Hey Jude - Remastered 2015']
The Calling,['Wherever You Will Go']
"The Chainsmokers, Halsey",['Closer']
The Chicks,['Landslide']
The Fray,"['How to Save a Life', 'You Found Me']"
"The Game, 50 Cent",['Hate It Or Love It']
The Head And The Heart,['Rivers and Roads']
The Killers,"['Mr. Brightside', 'Somebody Told Me', ""All These Things That I've Done"", 'When You Were Young']"
The Lumineers,"['Ho Hey', 'Flowers in Your Hair', 'Stubborn Love', 'Ophelia', 'Cleopatra']"
The Neighbourhood,"['Sweater Weather', 'Daddy Issues', 'You Get Me So High', 'Softcore']"
The Offspring,"['Want You Bad', ""You're Gonna Go Far, Kid""]"
The Paper Kites,['Bloom - Bonus Track']
"The Pussycat Dolls, Busta Rhymes","[""Don't Cha""]"
The Rare Occasions,['Notion']
The Red Jumpsuit Apparatus,['Face Down']
The Shins,['New Slang - 2021 Remaster']
The Strokes,"['Someday', 'Last Nite', 'Reptilia']"
The Temper Trap,['Sweet Disposition']
The Walters,['I Love You So']
The Wanted,['Glad You Came']
The Weeknd,"['The Morning - Original', 'The Hills', ""Can't Feel My Face"", 'Often', 'Earned It (Fifty Shades Of Grey)', 'Die For You', 'Die For You', 'Reminder', 'Party Monster', 'Call Out My Name', 'Blinding Lights', 'Save Your Tears', 'Heartless']"
"The Weeknd, Daft Punk",['Starboy']
"The Weeknd, Gesaffelstein",['I Was Never There']
"The Weeknd, Lana Del Rey",['Stargirl Interlude']
The White Stripes,"['Fell In Love With a Girl', 'Seven Nation Army']"
Thirty Seconds To Mars,['The Kill']
Thomas Rhett,['Die A Happy Man']
Three Days Grace,"['I Hate Everything About You', 'I Hate Everything About You', 'Animal I Have Become', 'Riot', 'Never Too Late']"
ThxSoMch,['SPIT IN MY FACE!']
Tim McGraw,['Live Like You Were Dying']
"Timbaland, Keri Hilson, D.O.E.",['The Way I Are']
Toby Keith,"['Courtesy Of The Red, White And Blue (The Angry American)', 'As Good As I Once Was']"
"Toby Keith, Willie Nelson",['Beer For My Horses']
Tom Odell,"['Another Love', 'Another Love']"
Tom Petty and the Heartbreakers,"[""Mary Jane's Last Dance""]"
Toploader,['Dancing in the Moonlight']
Tory Lanez,['The Color Violet']
Tove Lo,['Habits (Stay High)']
Train,"['Drops of Jupiter (Tell Me)', 'Hey, Soul Sister', 'Drive By']"
Trapt,['Headstrong']
Travis Scott,"['goosebumps', 'sdp interlude', 'SICKO MODE']"
"Travis Scott, Kacy Hill",['90210 (feat. Kacy Hill)']
Travis Tritt,"[""It's A Great Day To Be Alive""]"
"Trey Songz, Nicki Minaj",['Bottoms Up (feat. Nicki Minaj)']
Trippie Redd,['The Grinch']
Twenty One Pilots,"['Stressed Out', 'Ride']"
Twista,['Overnight Celebrity']
"Twista, Kanye West, Jamie Foxx",['Slow Jamz']
Two Door Cinema Club,['What You Know']
"Ty Dolla $ign, The Weeknd, Wiz Khalifa, Mustard","['Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix']"
Tyler Childers,"['Coal', 'Feathered Indians', 'Lady May', 'Shake the Frost (Live)', ""All Your'n""]"
"Tyler Childers, OurVinyl",['Nose On The Grindstone (OurVinyl Sessions)']
"Tyler, The Creator","['ARE WE STILL FRIENDS?', 'EARFQUAKE', 'NEW MAGIC WAND', 'BEST INTEREST']"
"Tyler, The Creator, Frank Ocean",['She']
"Tyler, The Creator, Kali Uchis",['See You Again (feat. Kali Uchis)']
U2,['Beautiful Day']
UB40,['Red Red Wine']
USHER,"['U Got It Bad', 'U Remind Me', 'Confessions Part II']"
"USHER, Alicia Keys",['My Boo']
"USHER, Lil Jon, Ludacris",['Yeah! (feat. Lil Jon & Ludacris)']
"USHER, Pitbull","[""DJ Got Us Fallin' In Love (feat. Pitbull)""]"
Uncle Kracker,"['Follow Me', 'Drift Away']"
Uncle Lucius,['Keep The Wolves Away']
Vacations,"['Young', 'Telephones']"
Vampire Weekend,['A-Punk']
Vance Joy,['Riptide']
Vanessa Carlton,['A Thousand Miles']
Vundabar,['Alien Blues']
WALK THE MOON,['Shut Up and Dance']
WILLOW,['Wait a Minute!']
"Waka Flocka Flame, Roscoe Dash, Wale",['No Hands (feat. Roscoe Dash & Wale)']
We The Kings,"['Check Yes, Juliet']"
Weezer,"['Island In The Sun', 'Hash Pipe', 'Beverly Hills']"
Wheatus,['Teenage Dirtbag']
Whiskey Myers,['Broken Window Serenade']
"White Noise Baby Sleep, White Noise for Babies",['Clean White Noise - Loopable with no fade']
XXXTENTACION,"['Revenge', 'Jocelyn Flores', 'Everybody Dies In Their Nightmares', 'Hope', 'Moonlight', 'SAD!']"
"XXXTENTACION, Trippie Redd",['Fuck Love']
YNW Melly,['Murder on My Mind']
Yeah Yeah Yeahs,['Maps']
Yeat,"['Monëy so big', 'Out thë way']"
Yellowcard,['Ocean Avenue']
Yot Club,['YKWIM?']
"Young Money, Drake",['Trophies']
"Young Money, Lloyd",['BedRock']
Zac Brown Band,"['Chicken Fried', 'Toes', 'Whatever It Is', 'Colder Weather']"
"Zac Brown Band, Jimmy Buffett",['Knee Deep (feat. Jimmy Buffett)']
Zach Bryan,"['Heading South', 'Condemned', 'Revival', 'Something in the Orange', 'Sun to Me', 'Oklahoma Smokeshow', 'Burn, Burn, Burn']"
Zion & Lennox,['Yo Voy (feat. Daddy Yankee)']
alt-J,['Breezeblocks']
ame,['raining for hours']
blink-182,"['First Date', 'I Miss You']"
bôa,['Duvet']
d4vd,['Romantic Homicide']
"fun., Janelle Monáe",['We Are Young (feat. Janelle Monáe)']
girl in red,['we fell in love in october']
salvia palth,"['i was all over her', '(dream)']"
t.A.T.u.,['All The Things She Said']
"Øneheart, reidenshi",['snowfall']
